alcaldia,Pob2019_H,Pob2019_M,Pob_Tot2019,CTDomestico,CTNODomestico,CTMixto,consumo_total,CTpPobtot,Categoriaconsumo
ALVARO OBREGON,360335,395285,755620,2848471.5200000014,762543.209999999,486470.5499999984,4097485.2700000023,5.422679746433396,BAJO
AZCAPOTZALCO,192944,216916,409860,4343306.130000008,610362.3099999998,854549.4899999996,5808217.719999985,14.171223637339542,ALTO
BENITO JUAREZ,198095,232259,430354,7935253.841000002,1614444.4710000008,1036532.3499999999,10586230.999999972,24.598890680695362,MUY ALTO
COYOACAN,293039,330644,623683,2459695.1599999974,586953.6499999999,325060.72,3371709.3100000005,5.406126686153063,BAJO
CUAJIMALPA,95608,103772,199380,629755.09,143581.70999999996,123931.95000000001,897268.7,4.500294412679305,BAJO
CUAUHTEMOC,259989,287714,547703,8744129.538999988,2844224.429999989,2081876.3099999952,13670230.490000023,24.95920323606046,MUY ALTO
GUSTAVO A. MADERO,567165,613564,1180729,5878477.349999992,803802.4999999986,1398647.180000009,8080927.220000002,6.844015197390766,MEDIO
IZTACALCO,186979,207469,394448,3958748.0500000003,650252.270000001,657270.5299999996,5266270.889999998,13.350988951648882,ALTO
IZTAPALAPA,885252,938216,1823468,2946168.720000002,461752.1299999974,672698.58,4080619.5299999984,2.2378344615863828,MUY BAJO
MAGDALENA CONTRERAS,117979,127396,245375,413205.2199999996,87372.54000000005,60795.85000000003,561373.7000000002,2.2878194600101893,MUY BAJO
MIGUEL HIDALGO,175144,203564,378708,5173945.058999994,1852484.989999992,1100985.060000004,8127415.1200000085,21.460901591727687,ALTO
MILPA ALTA,67969,71066,139035,51288.28000000004,19524.480000000007,22030.280000000002,92843.0399999999,0.6677673966986724,MUY BAJO
TLAHUAC,177029,190377,367406,324073.73999999976,55256.57000000009,63162.20000000003,442492.53000000014,1.2043693625036067,MUY BAJO
TLALPAN,326554,355174,681728,1536088.330000001,544457.27,165524.60000000018,2246070.239999999,3.2946721273000357,BAJO
VENUSTIANO CARRANZA,204702,229588,434290,3947544.7510000006,503586.73999999935,791034.5600000005,5242166.0810000105,12.070658041861453,MEDIO
XOCHIMILCO,205763,213663,419426,678475.3399999999,233574.9500000002,199424.68000000014,1111474.960000001,2.6499906062094407,MUY BAJO
